"data","bora-komorowskiego","bulwary","dworzec główny","klimeckiego","kopernika","kotlarska","mogilska","monte cassino","nowohucka","smoleńsk","tyniecka","wadowicka","wielicka","Średnia temp. (°C)","Min. temp.(°C)","Max.temp.(°C)","Odczuwalna temp. (°C)","Opady (mm)","Wiatr (km-h)"
2020-11-18,708,1344,1051,969,1838,1768,2044,1417,466,764,1003,933,1031,6.5,3,10,6,0,6
2020-11-19,646,1418,1111,949,1756,1732,2087,1323,478,789,1105,1001,970,7,4,10,5,0.4,12
2020-11-20,545,873,909,747,1535,1428,1730,1062,343,661,578,732,741,3.5,0,7,1,1,14
2020-11-21,353,996,544,439,828,862,913,793,333,431,914,526,444,1,-1,3,-2,0,8
2020-11-22,309,1092,475,489,877,817,885,782,262,354,1076,403,438,2.5,-1,6,-1,0,14
2020-11-23,427,617,814,634,1361,1133,1519,865,282,583,359,604,623,2.5,0,5,0,0.2,15
2020-11-24,613,1077,1020,801,1570,1459,1781,1148,420,664,839,813,881,4,1,7,1,0,9
2020-11-25,511,926,925,738,1544,1427,1718,1060,374,636,555,808,738,3,1,5,2,0,3
2020-11-26,456,825,884,669,1452,1252,1525,894,343,563,475,701,681,0.5,-2,3,-2,0,8
2020-11-27,345,551,742,496,1118,1026,1213,710,233,514,286,569,571,1,-1,3,-1,0.3,9
2020-11-28,214,501,433,273,648,636,669,560,203,337,321,318,279,1,0,2,-2,0.4,11
2020-11-29,126,288,307,160,429,422,410,340,111,197,262,195,160,,,,,,
